time,value
0,100
1,100
2,101
3,103
4,103
5,103
6,105
7,107
8,109
9,110
10,111
11,112
12,112
13,113
14,114
15,115
16,117
17,119
18,119
19,119
20,119
21,120
22,122
23,122
24,122
25,123
26,124
27,126
28,127
29,128
30,129
31,130
32,130
33,131
34,131
35,131
36,132
37,134
38,136
39,138
40,139
41,141
42,143
43,145
44,145
45,145
46,145
47,147
48,148
49,149
50,151
51,153
52,153
53,154
54,154
55,156
56,158
57,159
58,159
59,159
60,160
61,160
62,160
63,161
64,162
65,162
66,162
67,164
68,166
69,166
70,168
71,170
72,170
73,171
74,172
75,172
76,172
77,173
78,174
79,175
80,175
81,176
82,176
83,178
84,178
85,180
86,182
87,183
88,183
89,185
90,186
91,188
92,190
93,192
94,193
95,193
96,194
97,196
98,198
99,200
100,200
101,201
102,201
103,203
104,204
105,205
106,207
107,207
108,207
109,209
110,209
111,210
112,211
113,211
114,213
115,215
116,216
117,217
118,217
119,217
120,218
121,219
122,220
123,220
124,222
125,224
126,224
127,225
128,227
129,227
130,229
131,230
132,232
133,233
134,234
135,234
136,236
137,238
138,240
139,242
140,242
141,244
142,246
143,248
144,250
145,252
146,254
147,255
148,256
149,257
150,259
151,261
152,263
153,265
154,267
155,267
156,269
157,270
158,270
159,271
160,272
161,272
162,273
163,275
164,277
