time,value
0,70
3,80
4,50
7,140
11,80
16,90
20,110
21,60
22,30
27,90
29,110
30,90
33,80
36,100
37,120
40,0
45,70
50,90
55,70
59,70
62,110
66,120
71,120
75,110
77,90
80,60
81,120
84,140
85,90
88,70
93,120
97,110
101,130
106,120
108,140
111,120
114,70
116,90
120,60
125,90
128,90
129,70
131,90
134,90
137,120
140,120
144,80
148,70
149,120
154,110
155,70
156,80
159,90
164,130
168,120
172,130
174,60
175,120
180,90
182,80
187,140
190,90
194,80
198,70
202,60
206,60
210,140
214,140
216,70
219,0
220,130
223,130
226,140
231,90
234,100
238,80
243,60
248,130
250,120
254,120
258,110
261,80
264,90
268,70
270,80
274,70
275,130
277,120
281,110
284,140
285,90
289,90
293,140
297,110
301,80
303,80
306,140
310,80
314,70
316,110
321,70
323,70
324,110
326,130
328,0
329,110
330,130
331,100
332,70
333,130
337,80
342,70
347,80
350,130
352,80
355,130
359,70
364,120
369,130
374,100
375,130
376,110
381,110
384,80
385,130
388,80
392,70
393,80
398,100
402,60
407,100
410,110
412,100
417,120
422,120
423,130
428,60
433,60
436,130
441,70
446,80
450,90
453,100
456,70
457,100
458,130
462,80
467,0
468,120
469,130
473,90
478,70
483,100
486,100
490,90
495,120
496,110
498,60
499,110
504,60
505,130
506,60
508,130
509,70
513,80
